"";"P";"Player";"Age";"Salary";"GP";"G";"GA";"PlusMin";"NHL"
"1";"RW";"Aaron Downey";34;0,02;4;1;1;0;2
"2";"D";"Aaron Johnson";25;0,51;38;3;5;19;8
"3";"D";"Aaron MacKenzie";27;0,02;5;0;0;1;0
"4";"D";"Aaron Rome";25;0,15;8;0;1;1;1
"5";"LW";"Aaron Voros";27;1,2;54;8;8;-9;16
"6";"D";"Aaron Ward";35;2,5;65;3;7;16;10
"7";"RW";"Adam Burish";25;0,7;66;6;3;3;9
"8";"D";"Adam Foote";37;2,75;42;1;6;-12;7
"9";"RW";"Adam Hall";28;0,6;74;5;5;-9;10
"10";"C";"Adam Mair";29;0,75;75;8;11;4;19
"11";"D";"Adam Pardy";24;0,5;60;1;9;3;10
"12";"D";"Adrian Aucoin";35;4;81;10;24;-8;34
"13";"G";"Al Montoya";23;0,08;5;0;0;0;0
"14";"RW";"Ales Hemsky";25;3,6;72;23;43;1;66
"15";"RW";"Ales Kotalik";30;2,5;75;20;23;-5;43
"16";"G";"Alex Auld";27;1;43;0;0;0;0
"17";"C";"Alex Bolduc";23;0,06;7;0;1;1;1
"18";"RW";"Alex Burrows";27;0,52;82;28;23;23;51
"19";"D";"Alex Edler";22;0,55;80;10;27;11;37
"20";"D";"Alex Goligoski";23;0,65;45;6;14;5;20
"21";"D";"Alex Henry";29;0,01;2;0;0;-2;0
"22";"RW";"Alex Kovalev";35;4,5;78;26;39;-4;65
"23";"LW";"Alex Ovechkin";23;9;79;56;54;8;110
"24";"D";"Alex Pietrangelo";18;0,42;8;0;1;0;1
"25";"C";"Alex Steen";24;1,7;81;8;20;-10;28
"26";"LW";"Alex Tanguay";29;5,38;50;16;25;13;41
"27";"LW";"Alexander Frolov";26;3,5;77;32;27;-6;59
"28";"C";"Alexander Nikulin";23;0,02;1;0;0;-1;0
"29";"LW";"Alexander Semin";24;4,2;62;34;45;25;79
"30";"D";"Alexander Sulzer";24;0,15;2;0;0;0;0
"31";"LW";"Alexandre Giroux";27;0,05;12;1;1;4;2
"32";"LW";"Alexandre Picard";23;0,54;62;6;9;-3;15
"33";"LW";"Alexei Ponikarovsky";28;2,24;82;23;38;6;61
"34";"D";"Alexei Semenov";27;0,65;47;1;7;3;8
"35";"C";"Andre Deveaux";24;0,19;21;0;1;-3;1
"36";"RW";"Andre Roy";33;0,55;44;3;0;-1;3
"37";"D";"Andreas Lilja";33;1,25;60;2;11;13;13
"38";"RW";"Andreas Nodl";21;0,36;38;1;3;-15;4
"39";"RW";"Andrei Kostitsyn";23;3,25;74;23;18;-7;41
"40";"D";"Andrei Markov";30;5,75;78;12;52;-2;64
"41";"D";"Andrej Meszaros";23;2,5;52;2;14;-4;16
"42";"D";"Andrej Sekera";22;0,66;69;3;16;-11;19
"43";"D";"Andrew Alberts";27;1,4;79;1;12;6;13
"44";"LW";"Andrew Brunette";35;2,5;80;22;28;-5;50
"45";"C";"Andrew Cogliano";21;1,13;82;18;20;-6;38
"46";"C";"Andrew Ebbett";25;0,3;48;8;24;8;32
"47";"D";"Andrew Ference";29;1,34;47;1;15;7;16
"48";"RW";"Andrew Gordon";23;0;1;0;0;0;0
"49";"D";"Andrew Hutchinson";28;0,4;40;2;3;-9;5
"50";"LW";"Andrew Ladd";23;1,45;82;15;34;26;49
"51";"D";"Andrew MacDonald";22;0,01;3;0;0;2;0
"52";"C";"Andrew Murray";27;0,6;67;8;3;-6;11
"53";"LW";"Andrew Peters";28;0,55;28;0;1;-2;1
"54";"G";"Andrew Raycroft";28;0,8;31;0;0;0;0
"55";"D";"Andy Greene";26;0,6;49;2;7;3;9
"56";"C";"Andy Hilbert";27;0,7;67;11;16;-3;27
"57";"C";"Andy McDonald";31;3,33;46;15;29;-13;44
"58";"D";"Andy Sutton";33;3;23;2;8;3;10
"59";"D";"Andy Wozniewski";28;0,01;1;0;0;0;0
"60";"D";"Anssi Salmela";24;0,37;26;1;5;1;6
"61";"G";"Antero Niittymaki";28;1,38;32;0;1;0;1
"62";"RW";"Anthony Stewart";23;0,52;59;2;5;-6;7
"63";"C";"Antoine Vermette";26;2,52;79;16;25;-7;41
"64";"D";"Anton Babchuk";24;1;72;16;19;13;35
"65";"D";"Anton Stralman";22;0,4;38;1;12;-2;13
"66";"D";"Anton Volchenkov";26;2,2;68;2;8;-10;10
"67";"LW";"Antti Miettinen";28;2;82;15;29;-1;44
"68";"G";"Antti Niemi";25;0,21;3;0;0;0;0
"69";"LW";"Antti Pihlstrom";24;0,43;53;2;5;-1;7
"70";"C";"Anze Kopitar";21;0,96;82;27;39;-17;66
"71";"RW";"Arron Asham";30;0,64;78;8;12;0;20
"72";"C";"Artem Anisimov";20;0,01;1;0;0;0;0
"73";"RW";"B.J. Crombeen";23;0,55;81;12;10;-9;22
"74";"D";"Barret Jackman";27;2,5;82;4;17;-17;21
"75";"RW";"Barry Tallackson";25;0,15;4;0;0;-1;0
"76";"G";"Ben Bishop";22;0,33;6;0;0;0;0
"77";"LW";"Ben Eager";24;0,6;75;11;4;1;15
"78";"C";"Ben Guite";30;0,48;50;5;7;2;12
"79";"D";"Ben Lovejoy";24;0,01;2;0;0;0;0
"80";"C";"Ben Maxwell";20;0,09;7;0;0;-1;0
"81";"RW";"Ben Ondrus";26;0,06;11;0;0;-4;0
"82";"C";"Ben Walter";24;0,12;4;0;0;-2;0
"83";"LW";"Benoit Pouliot";22;0,9;37;5;6;1;11
"84";"RW";"Bill Guerin";38;4,5;78;21;27;-12;48
"85";"C";"Bill Thomas";25;0,16;16;2;1;-4;3
"86";"C";"Blair Betts";28;0,62;81;6;4;-5;10
"87";"RW";"Blake Comeau";22;0,46;53;7;18;-17;25
"88";"RW";"Blake Wheeler";22;2,83;81;21;24;36;45
"89";"C";"Bobby Holik";38;2,5;62;4;5;-2;9
"90";"RW";"Bobby Ryan";21;1,54;64;31;26;13;57
"91";"D";"Boris Valabik";22;0,73;50;0;5;-14;5
"92";"C";"Boyd Devereaux";30;0,18;23;6;5;3;11
"93";"C";"Boyd Gordon";25;0,72;63;5;9;-4;14
"94";"LW";"Boyd Kane";30;0,01;1;0;0;0;0
"95";"C";"Brad Boyes";26;2,5;82;33;39;-20;72
"96";"D";"Brad Lukowich";32;1,65;58;0;8;5;8
"97";"LW";"Brad May";37;0,6;58;1;6;0;7
"98";"C";"Brad Richards";28;7,8;56;16;32;-4;48
"99";"C";"Brad Richardson";23;0,57;31;0;5;-6;5
"100";"LW";"Brad Staubitz";24;0,19;35;1;2;0;3
"101";"D";"Brad Stuart";29;3,75;67;2;13;-3;15
"102";"LW";"Brad Winchester";27;0,46;64;13;8;-1;21
"103";"RW";"Brandon Bochenski";26;0,04;7;0;1;-3;1
"104";"C";"Brandon Dubinsky";22;0,64;82;13;28;-6;41
"105";"LW";"Brandon Prust";24;0,48;36;1;2;-8;3
"106";"RW";"Brandon Segal";25;0;2;0;0;0;0
"107";"C";"Brandon Sutter";19;1,04;50;1;5;-1;6
"108";"D";"Braydon Coburn";23;1,2;80;7;21;7;28
"109";"D";"Brendan Bell";25;0,4;53;6;15;-5;21
"110";"D";"Brendan Mikkelson";21;0,35;34;0;2;0;2
"111";"C";"Brendan Morrison";33;2,75;81;16;15;3;31
"112";"LW";"Brendan Shanahan";39;0,38;34;6;8;-2;14
"113";"D";"Brendan Witt";33;2,62;65;0;9;-34;9
"114";"LW";"Brenden Morrow";29;4,1;18;5;10;-4;15
"115";"D";"Brent Burns";23;3;59;8;19;-7;27
"116";"G";"Brent Johnson";31;0,82;21;0;1;0;1
"117";"G";"Brent Krahn";26;0,05;1;0;0;0;0
"118";"D";"Brent Seabrook";23;3,5;82;8;18;23;26
