Player;P;Age;Salary;GP;G;GA;PlusMin;NHL
Aaron Downey;RW;33;0,52;56;0;3;0;3
Aaron Johnson;D;24;0,48;30;0;2;2;2
Aaron Miller;D;36;1,5;57;1;8;-1;9
Aaron Rome;D;24;0,5;17;1;1;-4;2
Aaron Voros;LW;26;0,39;55;7;7;-7;14
Aaron Ward;D;34;2,75;65;5;8;9;13
Adam Berti;LW;21;0,01;2;0;0;0;0
Adam Burish;RW;24;0,57;81;4;4;-13;8
Adam Foote;D;36;4,6;75;1;15;2;16
Adam Hall;RW;27;0,52;46;2;4;-2;6
Adam Mair;C;28;0,75;72;5;12;-2;17
Adam Pineault;RW;21;0,01;3;0;0;-2;0
Adrian Aucoin;D;34;4;76;10;25;13;35
Alain Nasreddine;D;32;0,14;6;0;0;-4;0
Ales Hemsky;RW;24;3,6;74;20;51;-9;71
Ales Kotalik;RW;29;2,5;79;23;20;-5;43
Alex Auld;G;26;0,6;32;0;0;0;0
Alex Burrows;RW;26;0,48;82;12;19;11;31
Alex Edler;D;21;0,54;75;8;12;6;20
Alex Foster;LW;23;0,03;3;0;0;0;0
Alex Goligoski;D;22;0,07;3;0;2;2;2
Alex Kovalev;RW;34;4,5;82;35;49;18;84
Alex Ovechkin;LW;22;3,83;82;65;47;28;112
Alex Steen;C;23;0,9;76;15;27;0;42
Alex Tanguay;LW;28;5,38;78;18;40;11;58
Alexander Frolov;LW;25;3;71;23;44;1;67
Alexander Nikulin;C;22;0,02;2;0;0;-2;0
Alexander Radulov;RW;21;0,69;81;26;32;7;58
Alexander Semin;LW;23;1,2;63;26;16;-18;42
Alexandre Picard;D;22;0,2;27;3;3;-12;6
Alexei Ponikarovsky;LW;27;1,57;66;18;17;3;35
Alexei Semenov;D;26;0,65;22;1;3;-8;4
Alexei Zhitnik;D;35;3,5;65;3;5;-8;8
Allan Rourke;D;27;0,09;13;0;0;-1;0
Anders Eriksson;D;32;1,5;61;1;17;-5;18
Andre Roy;RW;32;0,86;63;4;3;-1;7
Andreas Karlsson;C;32;0,5;58;2;2;-7;4
Andreas Lilja;D;32;1;79;2;10;-2;12
Andrei Kostitsyn;RW;22;0,61;78;26;27;15;53
Andrei Markov;D;29;5,75;82;16;42;1;58
