"";"PlayerName";"P";"Age";"Salary";"GP";"G";"GA";"PlusMin";"Points";"Direct";"Directh";"Collective";"Collectiveh";"GPDirect";"GPCollective";"GPDirecth";"GPCollectiveh";"GPPlusMin";"PointsGP"
"1";"Aaron Downey";"RW";33;0,52;4;0;3;0;3;1;12,74;2,24;24,85;0,25;0,56;3,19;6,21;0;0,75
"2";"Aaron Johnson";"D";24;0,48;38;0;2;2;2;8,38;35,58;50,45;201,6;0,22;1,33;0,94;5,31;0,05;0,05
"3";"Aaron MacKenzie";NA;NA;NA;5;NA;NA;NA;NA;0,54;2,25;4,22;16,88;0,11;0,84;0,45;3,38;NA;NA
"4";"Aaron Rome";"D";24;0,5;8;1;1;-4;2;2,51;9,35;12,35;47,08;0,31;1,54;1,17;5,89;-0,5;0,25
"5";"Aaron Voros";"LW";26;0,39;54;7;7;-7;14;15,17;80,74;69,27;356,64;0,28;1,28;1,5;6,6;-0,13;0,26
"6";"Aaron Ward";"D";34;2,75;64;5;8;9;13;23,85;76,77;120,26;382,18;0,37;1,88;1,2;5,97;0,14;0,2
"7";"Adam Burish";"RW";24;0,57;66;4;4;-13;8;12,32;86,4;47,16;319,83;0,19;0,71;1,31;4,85;-0,2;0,12
"8";"Adam Foote";"D";36;4,6;42;1;15;2;16;14,95;48,04;75,09;227,47;0,36;1,79;1,14;5,42;0,05;0,38
"9";"Adam Hall";"RW";27;0,52;74;2;4;-2;6;13,58;84,61;67,76;396,89;0,18;0,92;1,14;5,36;-0,03;0,08
"10";"Adam Mair";"C";28;0,75;75;5;12;-2;17;21,85;114,82;85;479,65;0,29;1,13;1,53;6,4;-0,03;0,23
"11";"Adam Pardy";NA;NA;NA;59;NA;NA;NA;NA;18,48;69,94;101,47;390,61;0,31;1,72;1,19;6,62;NA;NA
"12";"Adrian Aucoin";"D";34;4;80;10;25;13;35;28,06;79,65;179,53;511,31;0,35;2,24;1;6,39;0,16;0,44
"13";"Al Montoya";NA;NA;NA;5;NA;NA;NA;NA;0,23;0,23;22,42;25,28;0,05;4,48;0,05;5,06;NA;NA
"14";"Ales Hemsky";"RW";24;3,6;72;20;51;-9;71;35,63;117,04;151,25;496,69;0,49;2,1;1,63;6,9;-0,12;0,99
"15";"Ales Kotalik";"RW";29;2,5;75;23;20;-5;43;29,72;116,44;128,13;499,38;0,4;1,71;1,55;6,66;-0,07;0,57
"16";"Alex Auld";"G";26;0,6;43;0;0;0;0;1,8;1,78;230,05;243,56;0,04;5,35;0,04;5,66;0;0
"17";"Alex Frolov";NA;NA;NA;77;NA;NA;NA;NA;36,6;107,37;160,03;479,9;0,48;2,08;1,39;6,23;NA;NA
"18";"Alex Goligoski";"D";22;0,07;45;0;2;2;2;14,89;48,27;93,17;316,31;0,33;2,07;1,07;7,03;0,04;0,04
"19";"Alex Henry";NA;NA;NA;2;NA;NA;NA;NA;0,44;3,81;2,32;20,08;0,22;1,16;1,91;10,04;NA;NA
"20";"Alex Kovalev";"RW";34;4,5;78;35;49;18;84;34,42;107;164,26;504,52;0,44;2,11;1,37;6,47;0,23;1,08
"21";"Alex Ovechkin";"LW";22;3,83;79;65;47;28;112;75,93;194,34;239,89;612,23;0,96;3,04;2,46;7,75;0,35;1,42
"22";"Alex Pietrangelo";NA;NA;NA;8;NA;NA;NA;NA;1,6;5,51;16,65;64,29;0,2;2,08;0,69;8,04;NA;NA
"23";"Alex Tanguay";"LW";28;5,38;50;18;40;11;58;20,33;75,46;105,85;380,24;0,41;2,12;1,51;7,6;0,22;1,16
"24";"Alexander Edler";NA;NA;NA;79;NA;NA;NA;NA;32,99;93,23;170,66;476,82;0,42;2,16;1,18;6,04;NA;NA
"25";"Alexander Nikulin";"C";22;0,02;1;0;0;-2;0;0,07;0,77;0,34;3,73;0,07;0,34;0,77;3,73;-2;0
"26";"Alexander Semin";"LW";23;1,2;62;26;16;-18;42;39,3;121,23;146,06;445,48;0,63;2,36;1,96;7,19;-0,29;0,68
"27";"Alexander Steen";NA;NA;NA;79;NA;NA;NA;NA;22,94;83,73;116,94;423,89;0,29;1,48;1,06;5,37;NA;NA
"28";"Alexander Sulzer";NA;NA;NA;2;NA;NA;NA;NA;0,2;1,24;1,74;13,23;0,1;0,87;0,62;6,61;NA;NA
"29";"Alexandre Bolduc";NA;NA;NA;7;NA;NA;NA;NA;2,35;20,42;7,43;66,96;0,34;1,06;2,92;9,57;NA;NA
"30";"Alexandre Burrows";NA;NA;NA;81;NA;NA;NA;NA;39,21;143,76;135,62;500,45;0,48;1,67;1,77;6,18;NA;NA
"31";"Alexandre Giroux";NA;NA;NA;12;NA;NA;NA;NA;2,38;13,69;14,63;80,72;0,2;1,22;1,14;6,73;NA;NA
"32";"Alexandre Picard";"D";22;0,2;47;3;3;-12;6;16,74;54,37;87,34;273,99;0,36;1,86;1,16;5,83;-0,26;0,13
"33";"Alexandre Picard";"D";22;0,2;15;3;3;-12;6;3,42;30,7;10,18;85,55;0,23;0,68;2,05;5,7;-0,8;0,4
"34";"Alexei Ponikarovsky";"LW";27;1,57;81;18;17;3;35;35,88;143,04;136,01;530,11;0,44;1,68;1,77;6,54;0,04;0,43
"35";"Alexei Semenov";"D";26;0,65;47;1;3;-8;4;9,35;45,58;60,82;272,51;0,2;1,29;0,97;5,8;-0,17;0,09
"36";"Andre Deveaux";NA;NA;NA;21;NA;NA;NA;NA;7,27;59,11;19,36;156,23;0,35;0,92;2,81;7,44;NA;NA
"37";"Andre Roy";"RW";32;0,86;43;4;3;-1;7;9,92;99,9;28,42;284,94;0,23;0,66;2,32;6,63;-0,02;0,16
"38";"Andreas Lilja";"D";32;1;59;2;10;-2;12;18,96;66,59;88,28;310,4;0,32;1,5;1,13;5,26;-0,03;0,2
"39";"Andreas Nodl";NA;NA;NA;38;NA;NA;NA;NA;5,15;27,85;41,56;214,91;0,14;1,09;0,73;5,66;NA;NA
"40";"Andrei Kostitsyn";"RW";22;0,61;74;26;27;15;53;29,71;114,23;123,74;482,02;0,4;1,67;1,54;6,51;0,2;0,72
"41";"Andrei Markov";"D";29;5,75;78;16;42;1;58;38,03;96,17;209,18;527,62;0,49;2,68;1,23;6,76;0,01;0,74
"42";"Andrej Meszaros";"D";22;0,98;52;9;27;5;36;25,63;64,13;130,46;327,54;0,49;2,51;1,23;6,3;0,1;0,69
"43";"Andrej Sekera";"D";21;0,3;69;2;6;5;8;23,02;66,81;142,4;409,59;0,33;2,06;0,97;5,94;0,07;0,12
"44";"Andrew Alberts";"D";26;1,1;79;0;2;4;2;23,07;88,49;128,45;480,14;0,29;1,63;1,12;6,08;0,05;0,03
"45";"Andrew Brunette";"LW";34;1,6;80;19;40;5;59;15,38;55,46;128,66;461,18;0,19;1,61;0,69;5,76;0,06;0,74
"46";"Andrew Cogliano";"C";20;1,13;82;18;27;1;45;19,24;80,77;120,11;491,57;0,23;1,46;0,99;5,99;0,01;0,55
"47";"Andrew Ebbett";"C";24;0,03;48;0;0;3;0;13,79;57,83;66,24;279,95;0,29;1,38;1,2;5,83;0,06;0
"48";"Andrew Ference";"D";28;1,24;47;1;14;-14;15;19,87;55,38;100,52;284,88;0,42;2,14;1,18;6,06;-0,3;0,32
"49";"Andrew Gordon";NA;NA;NA;1;NA;NA;NA;NA;0;0;-0,1;-0,82;0;-0,1;0;-0,82;NA;NA
"50";"Andrew Hutchinson";NA;NA;NA;40;NA;NA;NA;NA;7,06;29,04;55,18;224,54;0,18;1,38;0,73;5,61;NA;NA
"51";"Andrew Ladd";"LW";22;1,78;82;14;16;13;30;34,56;145,44;123,06;519,81;0,42;1,5;1,77;6,34;0,16;0,37
"52";"Andrew MacDonald";NA;NA;NA;3;NA;NA;NA;NA;0;-0,01;1,99;13,79;0;0,66;0;4,6;NA;NA
"53";"Andrew Murray";"C";26;0,26;67;6;4;-1;10;18,73;100,43;80,67;435,26;0,28;1,2;1,5;6,5;-0,01;0,15
"54";"Andrew Peters";"LW";27;0,5;28;1;1;-4;2;6;114,3;14,55;245,16;0,21;0,52;4,08;8,76;-0,14;0,07
"55";"Andrew Raycroft";"G";27;2;31;0;0;0;0;1,02;1,08;160,98;174,83;0,03;5,19;0,03;5,64;0;0
"56";"Andy Greene";"D";25;0,6;49;2;8;0;10;13,6;50,6;79,19;280,7;0,28;1,62;1,03;5,73;0;0,2
"57";"Andy Hilbert";"C";26;0,65;67;8;8;2;16;24,29;93,35;102,84;391,53;0,36;1,53;1,39;5,84;0,03;0,24
"58";"Andy McDonald";"C";30;3,33;46;18;34;-21;52;14,51;46,71;89,46;282,65;0,32;1,94;1,02;6,14;-0,46;1,13
"59";"Andy Sutton";"D";32;2,5;23;1;7;-6;8;11,92;34,35;56,01;156,57;0,52;2,44;1,49;6,81;-0,26;0,35
"60";"Andy Wozniewski";"D";27;0,34;1;2;7;5;9;0,49;4,41;0,76;6,9;0,49;0,76;4,41;6,9;5;9
"61";"Anssi Salmela";NA;NA;NA;26;NA;NA;NA;NA;7,93;28,77;39,4;149,15;0,31;1,52;1,11;5,74;NA;NA
"62";"Antero Niittymaki";"G";27;1,07;32;0;0;0;0;1,65;1,86;193,12;206,23;0,05;6,03;0,06;6,44;0;0
"63";"Anthony Stewart";"RW";22;0,18;59;0;1;-1;1;11,63;92,72;39,09;308,52;0,2;0,66;1,57;5,23;-0,02;0,02
"64";"Antoine Vermette";"C";25;1,07;79;24;29;3;53;21,25;72,41;136,03;453,97;0,27;1,72;0,92;5,75;0,04;0,67
"65";"Anton Babchuk";NA;NA;NA;71;NA;NA;NA;NA;27,3;87,57;130,25;414,41;0,38;1,83;1,23;5,84;NA;NA
"66";"Anton Stralman";"D";21;0,5;37;3;6;-10;9;10,94;44,69;58,6;236,25;0,3;1,58;1,21;6,39;-0,27;0,24
"67";"Anton Volchenkov";"D";25;2,1;68;1;14;14;15;32,53;98,71;130,91;391,42;0,48;1,93;1,45;5,76;0,21;0,22
"68";"Antti Miettinen";"LW";27;0,88;82;15;19;4;34;34,57;120,57;120,24;417,33;0,42;1,47;1,47;5,09;0,05;0,41
"69";"Antti Niemi";NA;NA;NA;3;NA;NA;NA;NA;0;0;12,78;17,24;0;4,26;0;5,75;NA;NA
"70";"Antti Pihlstrom";"LW";23;0,01;53;0;0;-1;0;14,18;68,44;67,13;334,57;0,27;1,27;1,29;6,31;-0,02;0
"71";"Anze Kopitar";"C";20;0,96;82;32;45;-15;77;37,28;108,06;184,8;529,32;0,45;2,25;1,32;6,46;-0,18;0,94
"72";"Arron Asham";"RW";29;0,7;78;6;4;-6;10;18,24;143,65;83,85;605,67;0,23;1,08;1,84;7,76;-0,08;0,13
"73";"Artem Anisimov";NA;NA;NA;1;NA;NA;NA;NA;-0,01;-0,08;1,18;6,21;-0,01;1,18;-0,08;6,21;NA;NA
"74";"B.J. Crombeen";"RW";22;0,07;81;0;2;1;2;33,12;148,45;94,69;452;0,41;1,17;1,83;5,58;0,01;0,02
"75";"Barret Jackman";"D";26;2,2;82;2;14;-12;16;28,63;76,5;161,12;426,08;0,35;1,96;0,93;5,2;-0,15;0,2
"76";"Barry Tallackson";"RW";24;0,03;4;0;0;0;0;0,88;7,6;2,05;22,02;0,22;0,51;1,9;5,51;0;0
"77";"Ben Bishop";NA;NA;NA;6;NA;NA;NA;NA;0;0;23,79;34,08;0;3,96;0;5,68;NA;NA
"78";"Ben Eager";"LW";23;0,55;75;0;2;-9;2;22,04;156,54;65,21;440,12;0,29;0,87;2,09;5,87;-0,12;0,03
"79";"Ben Guite";"C";29;0,48;50;11;11;1;22;12,21;57,34;59,96;295,73;0,24;1,2;1,15;5,91;0,02;0,44
"80";"Ben Lovejoy";NA;NA;NA;2;NA;NA;NA;NA;0,21;1,18;2,45;13,34;0,1;1,23;0,59;6,67;NA;NA
"81";"Ben Maxwell";NA;NA;NA;7;NA;NA;NA;NA;0,87;3,96;6,84;38,65;0,12;0,98;0,57;5,52;NA;NA
"82";"Ben Ondrus";"RW";25;0,02;11;0;0;-1;0;2,98;22,3;8,65;60,1;0,27;0,79;2,03;5,46;-0,09;0
"83";"Ben Walter";"C";23;0,05;4;1;0;-1;1;0,75;4,28;3,37;20,01;0,19;0,84;1,07;5;-0,25;0,25
"84";"Benoit Pouliot";"LW";21;0,26;37;2;1;-1;3;7,05;33,26;50,87;247,21;0,19;1,37;0,9;6,68;-0,03;0,08
"85";"Bill Guerin";"RW";37;4,5;78;23;21;-15;44;35,78;126,13;152,79;541,57;0,46;1,96;1,62;6,94;-0,19;0,56
"86";"Bill Thomas";"C";24;0,08;16;0;0;-2;0;1,35;9,14;13,4;89,93;0,08;0,84;0,57;5,62;-0,12;0
"87";"Blair Betts";"C";27;0,62;81;2;5;-4;7;10,87;55,57;76,86;473,16;0,13;0,95;0,69;5,84;-0,05;0,09
"88";"Blake Comeau";"RW";21;0,38;53;8;7;1;15;16,65;59,83;85,48;319,45;0,31;1,61;1,13;6,03;0,02;0,28
"89";"Blake Wheeler";NA;NA;NA;80;NA;NA;NA;NA;28,57;121,07;117,21;487,89;0,36;1,47;1,51;6,1;NA;NA
"90";"Bobby Holik";"C";37;4,25;62;15;19;-14;34;19,79;106,93;74,02;408,84;0,32;1,19;1,72;6,59;-0,23;0,55
"91";"Bobby Ryan";"RW";20;0,61;64;5;5;-1;10;27;102,07;101,06;377,48;0,42;1,58;1,59;5,9;-0,02;0,16
"92";"Boris Valabik";"D";21;0,1;49;0;0;-2;0;17,92;70,45;71,65;269,67;0,37;1,46;1,44;5,5;-0,04;0
"93";"Boyd Devereaux";"C";29;0,55;23;7;11;-6;18;8,25;32,64;35,68;154,03;0,36;1,55;1,42;6,7;-0,26;0,78
"94";"Boyd Gordon";"C";24;0,65;63;7;9;5;16;4,55;24,92;68,24;318,01;0,07;1,08;0,4;5,05;0,08;0,25
"95";"Boyd Kane";NA;NA;NA;1;NA;NA;NA;NA;0,02;0,1;0,49;2,83;0,02;0,49;0,1;2,83;NA;NA
"96";"Brad Boyes";"C";25;1,6;82;43;22;1;65;36,85;117,08;164,17;521,67;0,45;2;1,43;6,36;0,01;0,79
"97";"Brad Lukowich";"D";31;1,25;58;1;6;-15;7;16,41;63,59;94,98;349,51;0,28;1,64;1,1;6,03;-0,26;0,12
"98";"Brad May";"LW";36;0,6;58;3;1;2;4;10,72;92,77;55,49;467,71;0,18;0,96;1,6;8,06;0,03;0,07
"99";"Brad Richards";"C";27;7,8;56;20;42;-27;62;22,05;68,88;125,39;379,31;0,39;2,24;1,23;6,77;-0,48;1,11
"100";"Brad Richardson";"C";22;0,3;31;2;3;-3;5;4,38;25,12;30,22;160,14;0,14;0,97;0,81;5,17;-0,1;0,16
"101";"Brad Staubitz";NA;NA;NA;35;NA;NA;NA;NA;10,85;102,81;26,68;246,72;0,31;0,76;2,94;7,05;NA;NA
"102";"Brad Stuart";"D";28;3,5;66;6;17;-10;23;26,64;76,09;136,22;397,95;0,4;2,06;1,15;6,03;-0,15;0,35
"103";"Brad Winchester";"LW";26;0,48;64;1;2;-9;3;22,11;105,54;80,42;373,85;0,35;1,26;1,65;5,84;-0,14;0,05
"104";"Brandon Bochenski";"RW";25;0,6;7;3;10;6;13;2,1;12,15;6,19;36,09;0,3;0,88;1,74;5,16;0,86;1,86
"105";"Brandon Dubinsky";"C";21;0,64;82;14;26;8;40;38,83;137,89;165,14;580,76;0,47;2,01;1,68;7,08;0,1;0,49
"106";"Brandon Prust";NA;NA;NA;36;NA;NA;NA;NA;9,85;111,21;37,29;307,73;0,27;1,04;3,09;8,55;NA;NA
"107";"Brandon Segal";NA;NA;NA;2;NA;NA;NA;NA;0,63;2,61;3,15;13,14;0,32;1,58;1,31;6,57;NA;NA
"108";"Brandon Sutter";NA;NA;NA;49;NA;NA;NA;NA;12,2;75,52;43,34;275,3;0,25;0,88;1,54;5,62;NA;NA
