"","PlayerId","GPsec","PlayerName","GP"
"1",8451774,74,"Mats Sundin",74
"2",8459462,54,"Bryan McCabe",54
"3",8459574,74,"Darcy Tucker",74
"4",8460620,13,"Bates Battaglia",69
"5",8462035,53,"Chad Kilger",53
"6",8462117,66,"Vesa Toskala",66
"7",8464960,62,"Boyd Devereaux",62
"8",8465200,82,"Tomas Kaberle",89
"9",8465210,72,"Pavel Kubina",72
"10",8466339,3,"Scott Clemmensen",43
"11",8467335,35,"Mark Bell",35
"12",8467353,72,"Nik Antropov",72
"13",8467412,66,"Alexei Ponikarovsky",66
"14",8467453,19,"Andrew Raycroft",19
"15",8467565,33,"John Pohl",33
"16",8467844,82,"Jason Blake",82
"17",8468770,11,"Simon Gamache",41
"18",8468868,3,"Ben Ondrus",62
"19",8469470,28,"Carlo Colaiacovo",30
"20",8469581,59,"Kyle Wellwood",59
"21",8470058,18,"Staffan Kronwall",44
"22",8470162,82,"Matt Stajan",82
"23",8470232,28,"Kris Newbury",82
"24",8470257,76,"Alexander Steen",76
"25",8470273,81,"Ian White",81
"26",8470809,18,"Jeremy Williams",67
"27",8470986,1,"Darryl Boyce",42
"28",8471188,48,"Andy Wozniewski",81
"29",8471399,9,"Robbie Earl",75
"30",8471873,50,"Anton Stralman",79
"31",8472334,3,"Alex Foster",70
"32",8473482,58,"Jiri Tlusty",72
"33",8445739,43,"Patrice Brisebois",43
"34",8458069,64,"Bryan Smolinski",64
"35",8458529,82,"Alex Kovalev",82
"36",8458938,77,"Roman Hamrlik",77
"37",8459442,77,"Saku Koivu",83
"38",8460540,61,"Mathieu Dandenault",61
"39",8464994,44,"Steve Begin",44
"40",8465914,74,"Francis Bouillon",74
"41",8466398,67,"Tom Kostopoulos",67
"42",8467496,82,"Andrei Markov",88
"43",8467545,70,"Michael Ryder",70
"44",8468309,81,"Mark Streit",81
"45",8469460,75,"Mike Komisarek",75
"46",8469521,81,"Tomas Plekanec",85
"47",8470274,82,"Chris Higgins",82
"48",8470324,62,"Josh Gorges",62
"49",8470603,78,"Andrei Kostitsyn",83
"50",8470654,53,"Maxim Lapierre",72
"51",8470672,33,"Ryan O'Byrne",53
"52",8470705,1,"Corey Locke",79
"53",8470860,6,"Jaroslav Halak",34
"54",8471231,36,"Kyle Chipchura",75
"55",8471362,24,"Mikhail Grabovski",41
"56",8471457,1,"Gregory Stewart",70
"57",8471670,73,"Guillaume Latendresse",73
"58",8471679,41,"Carey Price",51
"59",8471851,1,"Matt D'Agostini",77
"60",8471859,52,"Sergei Kostitsyn",78
"61",8448535,54,"Olie Kolzig",54
"62",8458573,40,"Michael Nylander",40
"63",8459246,80,"Donald Brashear",80
"64",8459428,81,"Viktor Kozlov",81
"65",8460567,18,"Chris Clark",18
"66",8462161,19,"Brent Johnson",20
"67",8465012,71,"Tom Poti",71
"68",8465059,77,"Matt Bradley",77
"69",8466232,39,"Quintin Laing",59
"70",8467365,51,"John Erskine",51
"71",8468427,38,"Brian Pothier",38
"72",8469472,76,"Shaone Morrisonn",76
