"Rob Blake","8445550","73"
"Rod Brind'Amour","8445735","80"
"Patrice Brisebois","8445739","62"
"Chris Chelios","8446053","30"
"Kris Draper","8446485","79"
"Sergei Fedorov","8446788","52"
"Martin Gelinas","8447091","27"
"Bobby Holik","8447958","62"
"Anthony Hrkac","8448017","12"
"Jaromir Jagr","8448208","62"
"Curtis Joseph","8448382","21"
"Mike Keane","8448415","74"
"Olie Kolzig","8448535","8"
"Claude Lemieux","8448772","41"
"Mike Modano","8449645","80"
"Petr Nedved","8449807","33"
"Owen Nolan","8449895","59"
"Teppo Numminen","8449924","57"
"Mark Recchi","8450725","80"
"Robert Reichel","8450767","47"
"Luke Richardson","8450824","2"
"Gary Roberts","8450900","30"
"Jeremy Roenick","8450978","42"
"Joe Sakic","8451101","15"
"Mathieu Schneider","8451224","67"
"Brendan Shanahan","8451302","34"
"Mike Sillinger","8451359","10"
"Mats Sundin","8451774","41"
"Niklas Andersson","8455447","85"
"Josef Beranek","8455575","50"
"Martin Brodeur","8455710","31"
"Keith Carney","8455805","12"
"Craig Conroy","8455919","82"
"Adam Foote","8456283","42"
"Bill Guerin","8456464","78"
"Bret Hedican","8456547","51"
"Jamie Heward","8456588","33"
"Sean Hill","8456595","47"
"Ken Klee","8456850","71"
"Jon Klemm","8456852","51"
"Vyacheslav Kozlov","8456887","82"
"Robert Lang","8456966","50"
"Nicklas Lidstrom","8457063","78"
"Brad May","8457261","58"
"Jaroslav Modry","8457403","52"
"Mikael Renberg","8457785","21"
"Teemu Selanne","8457981","65"
"Chris Simon","8458031","40"
"John Slaney","8458048","52"
"Jiri Slegr","8458052","48"
"Bryan Smolinski","8458069","21"
"Darryl Sydor","8458172","73"
"Chris Taylor","8458185","52"
"Keith Tkachuk","8458229","79"
"Roman Turek","8458266","44"
"Doug Weight","8458361","53"
"Sergei Zubov","8458494","10"
"Scott Niedermayer","8458517","82"
"Aaron Ward","8458519","65"
"Peter Forsberg","8458520","3"
"Brian Rolston","8458525","64"
"Philippe Boucher","8458527","41"
"Alex Kovalev","8458529","78"
"Markus Naslund","8458530","82"
"Martin Rucinsky","8458534","19"
"Dean McAmmond","8458536","62"
"Ray Whitney","8458537","82"
"Rene Corbet","8458538","46"
"Ziggy Palffy","8458540","53"
"Steve Staios","8458541","80"
"Jassen Cullimore","8458543","68"
"Jozef Stumpel","8458554","45"
"Chris Osgood","8458568","46"
"Michael Nylander","8458573","72"
"Yves Sarault","8458575","40"
"Milan Hnilicka","8458584","22"
"Mike Knuble","8458590","82"
"Alexei Zhitnik","8458595","56"
"Aris Brimanis","8458600","49"
"Sean O'Donnell","8458637","82"
"Oleg Petrov","8458641","54"
"Igor Ulanov","8458715","36"
"Roman Hamrlik","8458938","81"
"Alexei Yashin","8458939","56"
"Todd Warriner","8458941","34"
"Darius Kasparaitis","8458942","26"
"Cory Stillman","8458943","63"
"Robert Petrovicky","8458946","37"
"Sergei Gonchar","8458951","25"
"Jason Smith","8458954","63"
"Martin Straka","8458955","51"
"Peter Ferraro","8458960","52"
"Drew Bannister","8458962","34"
"Igor Korolev","8458974","56"
"Michael Peca","8458976","71"
"Sergei Brylin","8458978","50"
"Michael Fountain","8458981","14"
"Darren McCarty","8458982","32"
"Andrei Nikolishin","8458983","48"
"Patrick Traverse","8458986","78"
"Manny Fernandez","8458988","28"
"Jeremy Stevenson","8458996","8"
"Kirk Maltby","8459001","78"
"Craig Rivet","8459004","64"
"Jan Caloun","8459011","2"
"Chris Ferraro","8459021","64"
"Jere Lehtinen","8459024","48"
"Marcus Ragnarsson","8459035","49"
"Sami Helenius","8459038","45"
"Adrian Aucoin","8459053","81"
"Derek Armstrong","8459064","56"
"Jiri Dopita","8459069","51"
"Ian Laperriere","8459094","74"
"Juha Lind","8459114","55"
"Stephane Yelle","8459122","77"
"Nikolai Khabibulin","8459140","42"
"Mattias Timander","8459144","55"
"Jeff Toms","8459146","23"
"Jonas Hoglund","8459158","17"
"Chris Herperger","8459159","51"
"Mark Wotton","8459173","73"
"Daniel McGillis","8459174","47"
"Pascal Rheaume","8459223","56"
"Donald Brashear","8459246","63"
"Fred Brathwaite","8459252","49"
"Brandon Smith","8459262","42"
"Manny Legace","8459308","52"
"Bryan Helmer","8459406","75"
"Alexandre Daigle","8459423","44"
"Chris Pronger","8459424","82"
"Chris Gratton","8459425","48"
"Paul Kariya","8459426","11"
"Rob Niedermayer","8459427","79"
"Viktor Kozlov","8459428","67"
"Jason Arnott","8459429","65"
"Niklas Sundstrom","8459430","49"
"Brendan Witt","8459433","65"
"Kenny Jonsson","8459434","66"
"Denis Pederson","8459435","52"
"Landon Wilson","8459441","42"
"Saku Koivu","8459442","65"
"Anders Eriksson","8459443","64"
"Todd Bertuzzi","8459444","66"
"Shean Donovan","8459450","65"
"Jay Pandolfo","8459454","61"
"David Vyborny","8459455","52"
"Jamie Langenbrunner","8459457","81"
"Janne Niinimaa","8459458","26"
"Brendan Morrison","8459461","81"
"Bryan McCabe","8459462","69"
"Kevin Weekes","8459463","16"
"Rory Fitzpatrick","8459469","46"
"Chris Armstrong","8459478","49"
"Ville Peltonen","8459479","79"
"Maxim Galanov","8459482","38"
"Jamie Rivers","8459484","69"
"Vladimir Chebaturkin","8459487","11"
"Vinny Prospal","8459492","82"
"Marek Malik","8459493","42"
"Sebastien Bordeleau","8459494","35"
"Jamal Mayers","8459514","71"
"Bob Wren","8459519","51"
"Marty Murray","8459521","76"
"Shawn Bates","8459527","20"
"Miroslav Satan","8459534","75"
"Nolan Pratt","8459538","35"
"Tomas Vlasak","8459543","52"
"Scott Walker","8459547","41"
"Norm Maracle","8459549","33"
