"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Alexandre Picard" "D" 22 0.2 3 3 3 -12 6 7.25 2.53 26.69 4.48 2.42 0.84 8.9 1.49 -4 2
"2" "Alexandre Picard" "D" 22 0.2 3 3 3 -12 6 2.09 4.89 10.27 24.17 0.7 1.63 3.42 8.06 -4 2
"3" "Peter Forsberg" "C" 34 1.12 9 1 13 7 14 -0.39 6.64 -0.47 6.14 -0.04 0.74 -0.05 0.68 0.78 1.56
"4" "Alex Ovechkin" "LW" 22 3.83 82 65 47 28 112 -2.99 5.21 -9.8 18.86 -0.04 0.06 -0.12 0.23 0.34 1.37
"5" "Sidney Crosby" "C" 20 3.7 53 24 48 18 72 -0.32 1.12 -1 3.31 -0.01 0.02 -0.02 0.06 0.34 1.36
"6" "Evgeni Malkin" "C" 21 3.83 82 47 59 16 106 17.96 -0.31 58.95 2.39 0.22 0 0.72 0.03 0.2 1.29
"7" "Daniel Alfredsson" "RW" 35 4.69 70 40 49 15 89 -0.22 -0.57 -3.99 -8.24 0 -0.01 -0.06 -0.12 0.21 1.27
"8" "Henrik Zetterberg" "C" 27 2.7 75 43 49 30 92 0.09 1.16 0.47 10.11 0 0.02 0.01 0.13 0.4 1.23
"9" "Jason Spezza" "C" 24 5 76 34 58 26 92 0.01 3.47 -1 12.25 0 0.05 -0.01 0.16 0.34 1.21
"10" "Jarome Iginla" "RW" 30 7 82 50 48 27 98 -0.36 1.79 -1.94 9.2 0 0.02 -0.02 0.11 0.33 1.2
