"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Ilya Zubov" "C" 20 0 1 0 0 0 0 0.33 15.99 0.72 57.99 0.33 15.99 0.72 57.99 0 0
"2" "Jesse Winchester" "C" 24 NA 1 0 0 0 0 0.71 12 6.26 48.9 0.71 12 6.26 48.9 0 0
"3" "Tim Brent" "C" 23 0.01 1 0 0 -1 0 -0.67 11.63 -1.5 35.57 -0.67 11.63 -1.5 35.57 -1 0
"4" "Teppo Numminen" "D" 39 0.08 1 0 0 0 0 1.37 10.45 5.22 35.93 1.37 10.45 5.22 35.93 0 0
"5" "Shawn Bates" "C" 32 1.2 2 0 0 -2 0 1.09 20.78 4.18 68.44 0.54 10.39 2.09 34.22 -1 0
"6" "Alexander Nikulin" "C" 22 0.02 2 0 0 -2 0 -1.56 20.71 -1.51 23.21 -0.78 10.35 -0.75 11.6 -1 0
"7" "Darryl Boyce" "C" 23 0.21 1 0 0 0 0 0.64 10.08 1.77 34.35 0.64 10.08 1.77 34.35 0 0
"8" "Matt Keetley" "G" 21 0.1 1 0 0 0 0 -2.27 9.1 -7.35 27.96 -2.27 9.1 -7.35 27.96 0 0
"9" "Antti Pihlstrom" "LW" 23 0.01 1 0 0 -1 0 8.99 8.99 40.58 33.76 8.99 8.99 40.58 33.76 -1 0
"10" "Josh Langfeld" "RW" 30 0.01 2 0 0 0 0 1.3 14.06 5.26 46.79 0.65 7.03 2.63 23.4 0 0
