"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Teppo Numminen" "D" 39 0.08 1 0 0 0 0 40.01 162.94 130.69 540.74 40.01 162.94 130.69 540.74 0 0
"2" "Tim Brent" "C" 23 0.01 1 0 0 -1 0 43.19 171.56 128.13 496.54 43.19 171.56 128.13 496.54 -1 0
"3" "Chris Beckford-Tseu" "G" 23 0.04 1 0 0 0 0 32.5 162.76 98.17 495.79 32.5 162.76 98.17 495.79 0 0
"4" "Daniel Lacosta" NA NA NA 1 NA NA NA NA 29.1 147.7 105.91 493.67 29.1 147.7 105.91 493.67 NA NA
"5" "Gregory Stewart" NA NA NA 1 NA NA NA NA 59.01 158.82 181.8 485.99 59.01 158.82 181.8 485.99 NA NA
"6" "Matt D'Agostini" "RW" 21 0 1 0 0 0 0 27.37 153.41 83.95 472.25 27.37 153.41 83.95 472.25 0 0
"7" "Matt Keetley" "G" 21 0.1 1 0 0 0 0 31.04 146.85 96.24 468 31.04 146.85 96.24 468 0 0
"8" "Darryl Boyce" "C" 23 0.21 1 0 0 0 0 28.03 143.79 89.79 463.4 28.03 143.79 89.79 463.4 0 0
"9" "Ilya Zubov" "C" 20 0 1 0 0 0 0 23.71 135.26 82.91 462.12 23.71 135.26 82.91 462.12 0 0
"10" "Tom Cavanagh" "C" 25 0.01 1 0 1 1 1 41.08 173.55 109.59 453.94 41.08 173.55 109.59 453.94 1 1
