"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Olli Malmivaara" "D" 25 0.01 2 0 0 2 0 -13.38 -10.89 -89.11 -86.78 -6.69 -5.44 -44.56 -43.39 1 0
"2" "Tom Cavanagh" "C" 25 0.01 1 0 1 1 1 36.42 -106.51 96.68 -281.17 36.42 -106.51 96.68 -281.17 1 1
"3" "Josh Gratton" "LW" 25 0.12 1 0 0 1 0 -1.07 -0.99 -20.77 -19.96 -1.07 -0.99 -20.77 -19.96 1 0
"4" "Nate Guenin" "D" 25 0.05 2 0 0 2 0 -58.19 -39.89 -287.05 -201.87 -29.1 -19.94 -143.52 -100.93 1 0
"5" "Ivan Baranka" "D" 22 0.01 1 0 1 1 1 20.48 -42.85 63.13 -137.25 20.48 -42.85 63.13 -137.25 1 1
"6" "Andrew Ebbett" "C" 24 0.03 3 0 0 3 0 -32.96 -42.35 -153.05 -171.17 -10.99 -14.12 -51.02 -57.06 1 0
"7" "Peter Forsberg" "C" 34 1.12 9 1 13 7 14 4.91 -141.81 4.86 -144.05 0.55 -15.76 0.54 -16.01 0.78 1.56
"8" "Mike Weber" "D" 20 0.13 16 0 3 12 3 30.12 -72.39 80.16 -214.33 1.88 -4.52 5.01 -13.4 0.75 0.19
"9" "Darren McCarty" "RW" 35 0.12 3 0 1 2 1 0.61 -1.62 3.48 -7.85 0.2 -0.54 1.16 -2.62 0.67 0.33
"10" "Alex Goligoski" "D" 22 0.07 3 0 2 2 2 2.89 -8.72 12.78 -39.02 0.96 -2.91 4.26 -13.01 0.67 0.67
