"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Gregory Stewart" NA NA NA 1 NA NA NA NA 59.01 158.82 181.8 485.99 59.01 158.82 181.8 485.99 NA NA
"2" "Tim Brent" "C" 23 0.01 1 0 0 -1 0 43.19 171.56 128.13 496.54 43.19 171.56 128.13 496.54 -1 0
"3" "Tom Cavanagh" "C" 25 0.01 1 0 1 1 1 41.08 173.55 109.59 453.94 41.08 173.55 109.59 453.94 1 1
"4" "Teppo Numminen" "D" 39 0.08 1 0 0 0 0 40.01 162.94 130.69 540.74 40.01 162.94 130.69 540.74 0 0
"5" "Jeff Hoggan" "LW" 29 0 1 0 0 0 0 32.91 124.69 116.01 451.19 32.91 124.69 116.01 451.19 0 0
"6" "Chris Beckford-Tseu" "G" 23 0.04 1 0 0 0 0 32.5 162.76 98.17 495.79 32.5 162.76 98.17 495.79 0 0
"7" "Theo Peckham" "D" 20 0.01 1 0 0 0 0 31.16 127.78 102.16 416.51 31.16 127.78 102.16 416.51 0 0
"8" "Matt Keetley" "G" 21 0.1 1 0 0 0 0 31.04 146.85 96.24 468 31.04 146.85 96.24 468 0 0
"9" "Daniel Lacosta" NA NA NA 1 NA NA NA NA 29.1 147.7 105.91 493.67 29.1 147.7 105.91 493.67 NA NA
"10" "Darryl Boyce" "C" 23 0.21 1 0 0 0 0 28.03 143.79 89.79 463.4 28.03 143.79 89.79 463.4 0 0
