"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Antti Pihlstrom" "LW" 23 0.01 1 0 0 -1 0 8.99 8.99 40.58 33.76 8.99 8.99 40.58 33.76 -1 0
"2" "Chris Beckford-Tseu" "G" 23 0.04 1 0 0 0 0 7.32 2.51 24.41 12.19 7.32 2.51 24.41 12.19 0 0
"3" "Tom Sestito" "LW" 20 0 1 0 0 0 0 3.31 2.43 21.99 14.13 3.31 2.43 21.99 14.13 0 0
"4" "Matt D'Agostini" "RW" 21 0 1 0 0 0 0 5.18 2.82 18.15 13.22 5.18 2.82 18.15 13.22 0 0
"5" "Justin Abdelkader" "LW" 20 NA 2 0 0 0 0 6.06 2.84 34.5 20.8 3.03 1.42 17.25 10.4 0 0
"6" "Jon Sim" "LW" 30 1 2 0 1 -1 1 9.02 9.67 32.76 35.3 4.51 4.84 16.38 17.65 -0.5 0.5
"7" "Troy Brouwer" "RW" 22 0.03 2 0 1 1 1 9.11 1.88 32.17 7.13 4.56 0.94 16.08 3.57 0.5 0.5
"8" "Cal Clutterbuck" "RW" 20 0.04 2 0 0 0 0 5.11 2.2 31.24 15.12 2.56 1.1 15.62 7.56 0 0
"9" "Jordan Lavallee-Smotherman" NA NA NA 2 NA NA NA NA 6.68 1.24 26.06 3.08 3.34 0.62 13.03 1.54 NA NA
"10" "Bryan Young" "D" 21 0.01 2 0 0 -1 0 7.09 2.61 21.8 7.51 3.54 1.31 10.9 3.75 -0.5 0
