"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Alex Ovechkin" "LW" 22 3.83 82 65 47 28 112 50.31 153.36 167.65 508.27 0.61 1.87 2.04 6.2 0.34 1.37
"2" "Evgeni Malkin" "C" 21 3.83 82 47 59 16 106 25.18 156.09 80.34 487.41 0.31 1.9 0.98 5.94 0.2 1.29
"3" "Jarome Iginla" "RW" 30 7 82 50 48 27 98 13.91 70.66 62.84 311.54 0.17 0.86 0.77 3.8 0.33 1.2
"4" "Pavel Datsyuk" "C" 29 6.7 82 31 66 41 97 0.05 27.61 0.05 54.52 0 0.34 0 0.66 0.5 1.18
"5" "Joe Thornton" "C" 28 6.67 82 29 67 18 96 34.18 166.97 103.86 501.55 0.42 2.04 1.27 6.12 0.22 1.17
"6" "Vincent Lecavalier" "C" 27 7.17 81 40 52 -17 92 11.83 60.12 65.15 339.89 0.15 0.74 0.8 4.2 -0.21 1.14
"7" "Henrik Zetterberg" "C" 27 2.7 75 43 49 30 92 1.7 5.08 13.36 44.04 0.02 0.07 0.18 0.59 0.4 1.23
"8" "Jason Spezza" "C" 24 5 76 34 58 26 92 6.91 39.88 22.26 131.38 0.09 0.52 0.29 1.73 0.34 1.21
"9" "Daniel Alfredsson" "RW" 35 4.69 70 40 49 15 89 0.72 1.39 13.61 20.45 0.01 0.02 0.19 0.29 0.21 1.27
"10" "Ilya Kovalchuk" "LW" 24 5.43 79 52 35 -12 87 21.24 122.89 69.92 408.06 0.27 1.56 0.89 5.17 -0.15 1.1
