"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Pavel Datsyuk" "C" 29 6.7 82 31 66 41 97 0.05 -16.28 0.05 -19.5 0 -0.2 0 -0.24 0.5 1.18
"2" "Nicklas Lidstrom" "D" 37 7.6 76 10 60 40 70 25.2 -49.96 87.9 -187.15 0.33 -0.66 1.16 -2.46 0.53 0.92
"3" "Dany Heatley" "RW" 26 5.5 71 41 41 33 82 22.5 -79.11 73.67 -300.11 0.32 -1.11 1.04 -4.23 0.46 1.15
"4" "Ryan Getzlaf" "C" 22 0.74 77 24 58 32 82 0.6 -31.65 0.64 -35.98 0.01 -0.41 0.01 -0.47 0.42 1.06
"5" "Henrik Zetterberg" "C" 27 2.7 75 43 49 30 92 0.8 -2.18 6.18 -15.34 0.01 -0.03 0.08 -0.2 0.4 1.23
"6" "Duncan Keith" "D" 24 1.4 82 12 20 30 32 39.38 -115.99 105.26 -315.35 0.48 -1.41 1.28 -3.85 0.37 0.39
"7" "Viktor Kozlov" "C" 32 2.5 81 16 38 28 54 -5.19 1 -21.63 2.41 -0.06 0.01 -0.27 0.03 0.35 0.67
"8" "Alex Ovechkin" "LW" 22 3.83 82 65 47 28 112 43.25 -98.31 143.26 -335.48 0.53 -1.2 1.75 -4.09 0.34 1.37
"9" "Jarome Iginla" "RW" 30 7 82 50 48 27 98 13.12 -22.91 58.47 -106.5 0.16 -0.28 0.71 -1.3 0.33 1.2
"10" "Brian Rafalski" "D" 34 6 73 13 42 27 55 16.18 -44.04 60.57 -162.78 0.22 -0.6 0.83 -2.23 0.37 0.75
