"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Brandon Bochenski" "RW" 25 0.6 40 3 10 6 13 -0.07 24.06 -0.09 23.51 0 0.6 0 0.59 0.15 0.32
"2" "Patrick Lalime" "G" 33 0.95 32 0 0 0 0 -1.36 21.43 -1.39 22.4 -0.04 0.67 -0.04 0.7 0 0
"3" "Barry Tallackson" "RW" 24 0.03 3 0 0 0 0 -0.65 20.79 -0.62 19.81 -0.22 6.93 -0.21 6.6 0 0
"4" "Shawn Bates" "C" 32 1.2 2 0 0 -2 0 1.09 20.78 4.18 68.44 0.54 10.39 2.09 34.22 -1 0
"5" "Martin Straka" "C" 35 3.3 65 14 27 5 41 -5.35 20.72 -13.71 53.99 -0.08 0.32 -0.21 0.83 0.08 0.63
"6" "Alexander Nikulin" "C" 22 0.02 2 0 0 -2 0 -1.56 20.71 -1.51 23.21 -0.78 10.35 -0.75 11.6 -1 0
"7" "Jean-Sebastien Aubin" "G" 30 0.52 19 0 0 0 0 -0.2 19.22 -0.2 18.09 -0.01 1.01 -0.01 0.95 0 0
"8" "Andy Greene" "D" 25 0.6 59 2 8 0 10 4.59 18.86 13.12 51.51 0.08 0.32 0.22 0.87 0 0.17
"9" "Glen Murray" "RW" 35 4.15 63 17 13 -4 30 10.68 18.45 34.36 62.52 0.17 0.29 0.55 0.99 -0.06 0.48
"10" "Jamal Mayers" "RW" 33 1.2 80 12 15 -19 27 20.75 18.08 68.58 67.91 0.26 0.23 0.86 0.85 -0.24 0.34
