"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Jonathan Cheechoo" "RW" 27 2.5 69 23 14 11 37 -0.02 0.77 -0.19 100.96 0 0.01 0 1.46 0.16 0.54
"2" "Steve Valiquette" "G" 30 0.64 13 0 0 0 0 0.06 2.32 -0.56 24.78 0 0.18 -0.04 1.91 0 0
"3" "Riley Cote" "LW" 25 0.48 70 1 3 2 4 4.1 1.74 32.98 20.66 0.06 0.02 0.47 0.3 0.03 0.06
"4" "Keith Carney" "D" 37 2.1 61 1 10 8 11 0.01 1.27 0.07 14.22 0 0.02 0 0.23 0.13 0.18
"5" "Daniel Alfredsson" "RW" 35 4.69 70 40 49 15 89 0.02 0.85 1.65 13.58 0 0.01 0.02 0.19 0.21 1.27
"6" "Dustin Penner" "RW" 25 4.25 82 23 24 -12 47 0.34 0.45 4.01 9.65 0 0.01 0.05 0.12 -0.15 0.57
"7" "Dick Tarnstrom" "D" 32 2 48 3 11 -11 14 2.08 -2.47 17.34 9.46 0.04 -0.05 0.36 0.2 -0.23 0.29
"8" "Jay Pandolfo" "LW" 33 0.84 54 12 12 10 24 0.39 1.31 2.53 8.93 0.01 0.02 0.05 0.17 0.19 0.44
"9" "Luke Richardson" "D" 38 0.5 76 2 7 1 9 0.48 0.72 3.5 8.92 0.01 0.01 0.05 0.12 0.01 0.12
"10" "Eric Brewer" "D" 28 3.5 77 1 21 -18 22 5.35 2.93 26.86 8.65 0.07 0.04 0.35 0.11 -0.23 0.29
