"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Bates Battaglia" NA NA NA 13 NA NA NA NA 26.59 12.86 88.15 44.1 2.05 0.99 6.78 3.39 NA NA
"2" "Martin Havlat" "LW" 26 6 35 10 17 4 27 24.22 18.06 90.04 65.94 0.69 0.52 2.57 1.88 0.11 0.77
"3" "Jeremy Williams" "RW" 23 0.11 18 2 0 -3 2 23.14 15.09 64.47 41.1 1.29 0.84 3.58 2.28 -0.17 0.11
"4" "Jeff Finger" "D" 28 0.48 72 8 11 12 19 22.55 13.6 69.35 41.78 0.31 0.19 0.96 0.58 0.17 0.26
"5" "Zbynek Michalek" "D" 25 1.2 75 4 13 9 17 22.17 15.41 75.97 51.86 0.3 0.21 1.01 0.69 0.12 0.23
"6" "Rob Blake" "D" 38 6 71 9 22 -19 31 21.78 10 69.19 33.04 0.31 0.14 0.97 0.47 -0.27 0.44
"7" "Paul Ranger" "D" 23 0.75 72 10 21 -13 31 20.98 9.57 67.34 32.97 0.29 0.13 0.94 0.46 -0.18 0.43
"8" "Jamal Mayers" "RW" 33 1.2 80 12 15 -19 27 20.75 18.08 68.58 67.91 0.26 0.23 0.86 0.85 -0.24 0.34
"9" "Ryan Callahan" "RW" 22 0.5 52 8 5 7 13 20.45 8.62 56.1 24.35 0.39 0.17 1.08 0.47 0.13 0.25
"10" "Junior Lessard" "RW" 27 0.12 21 1 1 -6 2 19.98 17.21 77.52 69 0.95 0.82 3.69 3.29 -0.29 0.1
