"PlayerName" "P" "Age" "Salary" "GP" "G" "GA" "PlusMin" "NHL" "TotVal" "TotPMVal" "TotValh" "TotPMValh" "ByMatchVal" "ByMatchPMVal" "ByMatchValh" "ByMatchPMValh" "ByMatchPlusMin" "ByMatchNHL"
"1" "Jason Blake" "LW" 34 5 82 15 37 -4 52 -9.69 -18.87 359.62 -271.65 -0.12 -0.23 4.39 -3.31 -0.05 0.63
"2" "Ben Ondrus" "RW" 25 0.02 3 0 0 -1 0 7.99 -15.94 205.27 -157.11 2.66 -5.31 68.42 -52.37 -0.33 0
"3" "Tim Thomas" "G" 33 1 57 0 0 0 0 10.05 -12.06 170.61 -253.24 0.18 -0.21 2.99 -4.44 0 0
"4" "Martin Straka" "C" 35 3.3 65 14 27 5 41 66.81 -35.64 169.81 -90.71 1.03 -0.55 2.61 -1.4 0.08 0.63
"5" "Gregory Stewart" NA NA NA 1 NA NA NA NA 48.7 -131.28 150 -406.56 48.7 -131.28 150 -406.56 NA NA
"6" "Jiri Novotny" "C" 24 0.7 65 8 14 -10 22 18.7 -23.91 148.46 -245.55 0.29 -0.37 2.28 -3.78 -0.15 0.34
"7" "Alex Ovechkin" "LW" 22 3.83 82 65 47 28 112 43.25 -98.31 143.26 -335.48 0.53 -1.2 1.75 -4.09 0.34 1.37
"8" "Derek Roy" "C" 24 3 78 32 49 13 81 46.3 -45.34 134.84 -139.04 0.59 -0.58 1.73 -1.78 0.17 1.04
"9" "Andy Greene" "D" 25 0.6 59 2 8 0 10 45.36 -97.66 133.92 -282.91 0.77 -1.66 2.27 -4.8 0 0.17
"10" "Anders Eriksson" "D" 32 1.5 61 1 17 -5 18 37.88 -58.06 131.28 -196.99 0.62 -0.95 2.15 -3.23 -0.08 0.3
