"Arima Model" "ME" "sdME" "MAE" "sdMAE"
"1" "0,1,0 Direct" 0.067815490612129 0.514497711837619 0.357370028930719 0.376252136105068
"2" "0,0,1 Direct" 0.0540081185431759 0.409592655758302 0.304812300240218 0.27884070720442
"3" "1,0,0 Direct" 0.0649867335163876 0.378345693880928 0.276342927547994 0.266433892386723
"4" "0,1,1 Direct" 0.000869270321879891 0.514168540642964 0.340574138618813 0.385166303783293
"5" "0,0,0 Direct" 0.0778244870858043 0.354918548767349 0.255391713893782 0.258428955690441
"6" "best Direct" 0.32826708799338 0.342837973017392 0.334447879501322 0.336809808077428
"7" "0,1,0 Directh" 0.276056948991345 2.08843484391073 1.42181804656605 1.55427193574771
"8" "0,0,1 Directh" 0.153041606216617 1.70645735961147 1.22581037867743 1.19685964644659
"9" "1,0,0 Directh" 0.234458846595634 1.53609467842806 1.09689066182699 1.10051313003198
"10" "0,1,1 Directh" 0.018812629017812 2.13510134510837 1.35938616811892 1.64640921066219
"11" "0,0,0 Directh" 0.328869737843319 1.48216877971475 1.00333501350748 1.13933987208084
"12" "best Directh" 1.20609366261934 1.52512051590559 1.27888354676884 1.46460591918192
"13" "0,1,0 Collective" -0.0714241302743869 1.05264384166392 0.769913499669813 0.721292621249258
"14" "0,0,1 Collective" 0.083259704463428 1.02523131930446 0.789941013758905 0.658701353480629
"15" "1,0,0 Collective" -0.00294987659306068 0.927139712910637 0.7228609901639 0.580476181006565
"16" "0,1,1 Collective" -0.127810000929082 0.994082619549048 0.726791574071448 0.690069474716739
"17" "0,0,0 Collective" 0.0248596314424274 0.779816987849664 0.610452966765194 0.485795243287319
"18" "best Collective" 0.366014733213788 1.09610980368823 0.894625149945267 0.731383079348961
"19" "0,1,0 Collectiveh" -0.0849472737725049 4.16362820003604 2.95208953956256 2.93704744970988
"20" "0,0,1 Collectiveh" 0.221727782416269 3.94680740695311 2.99441371502537 2.58030159990748
"21" "1,0,0 Collectiveh" 0.0876193610614935 3.60352373356442 2.80036768098081 2.26919808332525
"22" "0,1,1 Collectiveh" -0.44833375558872 4.17231742389309 3.03358886287932 2.89906426972832
"23" "0,0,0 Collectiveh" 0.199106464131948 2.99331264792689 2.38732133882453 1.81631573129896
"24" "best Collectiveh" 1.4592798985243 3.72964830767595 3.13505941424534 2.49187991263735
